Month,max_temp,min_temp,daily_rain,sunshine_hours,humidity
 1989 Mar ,31,23.9,63.5,4.5,87.6
 1989 Apr ,31.8,24,39,5.7,86.4
 1989 May ,31.5,24.5,38.2,5.2,86.6
 1989 Jun ,31.7,24.4,45.9,6,83.3
 1989 Jul ,31.6,24.9,33.3,6,82.6
 1989 Aug ,31,23.9,81.4,5.3,83.7
 1989 Sep ,30.8,24.1,102.2,5.5,84.4
 1989 Oct ,31.3,24.2,24.9,5.5,83.7
 1989 Nov ,31,24,148.6,5.5,86
 1989 Dec ,30.2,23.9,44.2,4.8,85.5
 1990 Jan ,30.3,23.7,73.9,5.3,83.8
 1990 Feb ,32.4,24.9,6.6,8.9,80.9
 1990 Mar ,33.3,25,48.6,8.3,77.6
 1990 Apr ,33.4,25.3,12,6.3,81.2
 1990 May ,32.8,25.6,153.7,6.5,81.1
 1990 Jun ,32.4,25.4,76.1,6.3,80.7
 1990 Jul ,31.4,24.6,44.5,5.9,82.7
 1990 Aug ,31.4,25.1,38.3,5.8,82.3
 1990 Sep ,31.3,24.2,44.5,5.1,83.2
 1990 Oct ,31.8,24.9,20.2,5.9,83.5
 1990 Nov ,31.3,24.6,46.9,4.6,83.5
 1990 Dec ,30.2,24.1,33.5,5.5,86
 1991 Jan ,30.9,24.2,36.2,5.6,84.1
 1991 Feb ,31.8,24.1,17.9,7,81.6
 1991 Mar ,32.4,24.7,48.6,7.1,79.9
 1991 Apr ,32.3,24.7,32.2,5.8,84.3
 1991 May ,31.5,25,44,5.1,86.6
 1991 Jun ,32.2,25.8,55.6,7.1,81
 1991 Jul ,32.1,25.7,10.7,6.7,78.7
 1991 Aug ,32.2,25.3,129.9,5.3,79.8
 1991 Sep ,31.3,24.7,53.6,4.1,83
 1991 Oct ,31.8,24.7,20.4,4.2,81.4
 1991 Nov ,30.6,23.6,75.2,3.5,86.5
 1991 Dec ,29.1,23.4,79.4,3,90.7
 1992 Jan ,30.7,23.8,56.2,6.6,82.4
 1992 Feb ,32.1,24.3,43.2,7.7,80.5
 1992 Mar ,33,25,35.1,7.4,80.6
 1992 Apr ,32.9,25.1,94.7,6.5,82.4
 1992 May ,32.5,25.1,13.7,5.7,83.3
 1992 Jun ,32,24.9,38.4,5.5,82.7
 1992 Jul ,30.9,24.2,97.3,4.7,83.8
 1992 Aug ,31.4,24.3,31,5.7,81.1
 1992 Sep ,31.5,24.5,17.5,5.1,82.9
 1992 Oct ,31.4,24.3,45.5,4.5,82
 1992 Nov ,30,23.7,120.6,3.7,87.7
 1992 Dec ,29.2,23.4,105.7,3.4,90.3
 1993 Jan ,29.9,23.8,37.2,5.5,85.7
 1993 Feb ,31.4,23.8,27,8.5,80.5
 1993 Mar ,30.7,24,56.9,5.4,86.3
 1993 Apr ,31.8,24.4,56.7,6.4,84.5
 1993 May ,31.9,25.4,37.2,6.1,82.9
 1993 Jun ,31.9,25.4,29.4,6.2,80.9
 1993 Jul ,31.1,25.2,46.4,5.2,83.2
 1993 Aug ,32.1,25.4,53.5,7.4,79.4
 1993 Sep ,31.7,24.9,42,5.9,81.4
 1993 Oct ,31.6,24.7,62.7,5.2,84.3
 1993 Nov ,30.9,24.2,61.3,4.7,87.4
 1993 Dec ,30.3,24,67.6,4.2,87.4
 1994 Jan ,30.9,24.1,17.5,6.2,82.1
 1994 Feb ,31.6,24,26.3,6.4,84.5
 1994 Mar ,30.5,24.2,64.2,3.5,87.1
 1994 Apr ,31.9,24.8,46.3,5.8,84.8
 1994 May ,31.1,25.1,45.1,5,84.8
 1994 Jun ,31.3,25.2,61.1,6,83.5
 1994 Jul ,31.6,25.7,17,7.6,78.9
 1994 Aug ,31.9,25.2,15.5,6.5,80
 1994 Sep ,31.9,25.5,11.3,3.8,78.7
 1994 Oct ,32.1,24.6,35.4,4.5,81.5
 1994 Nov ,30.5,24,178.3,4.5,88.4
 1994 Dec ,30.7,24.1,133.8,5.3,85.5
 1995 Jan ,30.6,24.1,108.3,5,86.2
 1995 Feb ,29.8,23.8,159.3,4.9,87.5
 1995 Mar ,31.8,24.6,31.1,5.9,83.9
 1995 Apr ,32,25,73.6,5.7,85.3
 1995 May ,32.3,25.6,32.8,6,83.7
 1995 Jun ,32.7,25.8,45,6.6,81.9
 1995 Jul ,31.2,25.2,52.3,5.2,82.6
 1995 Aug ,30.6,24.6,37.9,4.1,85.6
 1995 Sep ,32,25.1,5.7,5.8,81.6
 1995 Oct ,32.1,24.8,37.1,4.7,82.8
 1995 Nov ,31,24.1,198.6,3.7,86.8
 1995 Dec ,29.5,23.9,55.6,3.1,86.6
 1996 Jan ,30.1,23.4,39,5.2,84.2
 1996 Feb ,30.2,24,53,5.8,84.6
 1996 Mar ,32.4,24.5,61.8,7.7,81
 1996 Apr ,31.7,24.9,55.7,5.4,85.5
 1996 May ,32.4,25.2,18.6,7,83.7
 1996 Jun ,32,25.3,94.3,5.9,84.3
 1996 Jul ,31.5,25.4,55.3,6.8,81.9
 1996 Aug ,31.4,24.3,64.6,5,83.4
 1996 Sep ,31.1,24.6,66.5,4.8,82.2
 1996 Oct ,31.2,24.4,45.8,4.3,83
 1996 Nov ,31.5,24.6,60.5,4.4,83.5
 1996 Dec ,30.7,23.9,72.4,4.5,82.9
 1997 Jan ,31.5,24,13.9,7.7,77.3
 1997 Feb ,31.9,24.5,35.7,4.9,80.8
 1997 Mar ,32.8,24.9,17.4,7,79.6
 1997 Apr ,32.5,25,44.6,5.6,82.7
 1997 May ,33.6,26.3,35.6,6.8,77.7
 1997 Jun ,33.2,26,25,7.3,76.7
 1997 Jul ,32.4,26,5.4,6.5,76.5
 1997 Aug ,32.6,25.9,61.4,5.7,78.2
 1997 Sep ,32.2,26.3,24.3,3.2,77
 1997 Oct ,32.4,25.1,36.5,3.2,81
 1997 Nov ,32,24.8,53.6,5.4,82.8
 1997 Dec ,31.3,24.6,65.8,5.3,85.3
 1998 Jan ,31.8,25.3,79.7,7.4,83.2
 1998 Feb ,33.1,25.9,11.9,8.9,78.3
 1998 Mar ,34.1,26.3,20.9,7.6,77.8
 1998 Apr ,33.1,26.3,64.9,6.7,81.8
 1998 May ,33.1,26.3,83.7,5.9,82.3
 1998 Jun ,32.4,25.4,42.8,5.3,82.1
 1998 Jul ,31.5,24.9,55.8,5.1,81.8
 1998 Aug ,30.9,24.7,35.5,4.6,85.4
 1998 Sep ,31.1,24.9,52,4.5,84.1
 1998 Oct ,31.9,24.6,32.4,5,82.3
 1998 Nov ,31.7,24.9,57.5,4.6,81.9
 1998 Dec ,30.4,24.2,84.4,3.1,88.5
 1999 Jan ,30.4,24.3,52.5,3.9,88.3
 1999 Feb ,31.3,24.5,32.1,6.7,82.4
 1999 Mar ,31.5,24.4,52.4,4.3,87.5
 1999 Apr ,32.4,25.4,29.2,5.8,82.6
 1999 May ,31.7,25.3,42.8,5.7,84.4
 1999 Jun ,31.8,25.3,34.5,6,81.9
 1999 Jul ,31.2,24.7,51.4,6.8,82.7
 1999 Aug ,31,24.5,42.4,5.7,84.1
 1999 Sep ,31.9,24.9,41.5,6.5,81.7
 1999 Oct ,31.1,24.3,32.8,4.8,84.6
 1999 Nov ,31.3,24.5,39,4.7,84.4
 1999 Dec ,30.6,24.1,76.9,4.1,85.3
 2000 Jan ,29.8,23.9,127.6,4,86.9
 2000 Feb ,31,23.8,39.9,5.8,86.5
 2000 Mar ,31.9,24.3,37.9,5.8,85.8
 2000 Apr ,31.9,24.6,87.4,5.3,85.6
 2000 May ,32.7,25.7,36.7,6.8,82.4
 2000 Jun ,31.1,24.7,41.7,4.6,84.3
 2000 Jul ,31.6,25.3,34.6,6.5,82.6
 2000 Aug ,30.7,24.8,28.1,5.1,83.8
 2000 Sep ,32.1,25.2,25.7,6.2,82.2
 2000 Oct ,31.8,24.9,38.3,4,82.1
 2000 Nov ,31.3,24.7,72,3.7,87.1
 2000 Dec ,31,24.4,45.8,4.2,87.6
 2001 Jan ,30.3,24,125.4,4.4,87.4
 2001 Feb ,30.9,24.5,28.2,4.9,83.6
 2001 Mar ,31.8,24.2,41.1,5.4,84.5
 2001 Apr ,31.8,25.1,68.9,5.4,86
 2001 May ,32.2,25.7,56.1,6,85
 2001 Jun ,31.4,25.4,49.6,4.9,82.5
 2001 Jul ,32.2,25.5,44.8,8.1,80.8
 2001 Aug ,31.1,25.2,36.6,4.9,83.7
 2001 Sep ,31.6,25.2,74.3,6.2,82.3
 2001 Oct ,31.4,24.7,77.2,4.2,83.7
 2001 Nov ,30.8,24.7,102.6,3.7,84.9
 2001 Dec ,30.7,24.1,211.1,4.5,86.8
 2002 Jan ,30.9,24.5,83.8,6.9,83.6
 2002 Feb ,31.3,24.5,41.7,7.4,80.9
 2002 Mar ,33,25.1,26.4,7.6,80.8
 2002 Apr ,33,25.6,39.4,6.6,82.3
 2002 May ,32.6,26.1,75.9,6.2,82.3
 2002 Jun ,32.1,26,45.8,6.3,82.1
 2002 Jul ,31.9,25.5,69.5,6.8,82.7
 2002 Aug ,31.9,25.6,17.8,6.7,79.2
 2002 Sep ,31.7,25.1,38.9,5.5,81.7
 2002 Oct ,33,25.7,3.2,6.2,79.8
 2002 Nov ,31.7,24.5,84,4.6,85.8
 2002 Dec ,31.3,24.7,38.6,4.8,88.7
 2003 Jan ,30.1,24.4,194.4,4.7,86.9
 2003 Feb ,30.8,24.4,82.2,5.8,85
 2003 Mar ,32.3,25.2,38.3,6.9,83.8
 2003 Apr ,32.1,25.3,42.9,5.1,86.7
 2003 May ,32.7,26.5,33,5.9,81.7
 2003 Jun ,32.7,26,23.2,7,78.5
 2003 Jul ,31.5,25.1,30.9,5.6,81.7
 2003 Aug ,31.8,25.5,64.4,6.1,83.1
 2003 Sep ,31.2,24.8,60,5,84.8
